date,symbol,open,high,low,close,volume,sector
2023-01-01,AAPL,150.2,152.8,149.1,152.3,2500000,Technology
2023-01-02,AAPL,152.5,154.1,151.2,153.7,2800000,Technology
2023-01-03,AAPL,153.8,155.6,152.9,155.1,3100000,Technology
2023-01-04,AAPL,155.2,157.8,154.3,156.9,2900000,Technology
2023-01-05,AAPL,157.1,159.4,156.2,158.8,3400000,Technology
2023-01-01,GOOGL,2800.5,2850.2,2785.3,2842.1,1200000,Technology
2023-01-02,GOOGL,2845.6,2890.8,2830.4,2876.3,1350000,Technology
2023-01-03,GOOGL,2878.9,2925.7,2865.1,2910.4,1480000,Technology
2023-01-04,GOOGL,2912.3,2958.6,2895.7,2945.2,1560000,Technology
2023-01-05,GOOGL,2948.1,2985.9,2932.4,2976.8,1720000,Technology
2023-01-01,MSFT,240.8,245.3,238.9,244.1,2100000,Technology
2023-01-02,MSFT,244.5,248.7,242.6,247.3,2250000,Technology
2023-01-03,MSFT,247.8,251.9,246.1,250.6,2400000,Technology
2023-01-04,MSFT,250.9,254.2,249.3,253.1,2600000,Technology
2023-01-05,MSFT,253.4,257.8,251.9,256.7,2800000,Technology
2023-01-01,JPM,125.4,128.1,124.2,127.6,1800000,Financial
2023-01-02,JPM,127.9,130.5,126.7,129.8,1950000,Financial
2023-01-03,JPM,130.1,132.8,128.9,131.9,2100000,Financial
2023-01-04,JPM,132.2,135.1,131.3,134.7,2250000,Financial
2023-01-05,JPM,134.9,137.6,133.8,136.5,2400000,Financial
2023-01-01,JNJ,165.8,168.4,164.1,167.9,1600000,Healthcare
2023-01-02,JNJ,168.2,170.7,166.8,169.5,1750000,Healthcare
2023-01-03,JNJ,169.8,172.1,168.3,171.4,1850000,Healthcare
2023-01-04,JNJ,171.7,174.2,170.1,173.6,1950000,Healthcare
2023-01-05,JNJ,173.9,176.8,172.4,175.8,2050000,Healthcare
